threshold_v,peak_v,trough_v,upstroke_v,downstroke_v,adp_v,experiment_date,file_name
-50.8753304830412,14.1546511766387,-54.1042391149009,-40.8704030106707,-22.6141923113567,-52.2337348751906,10172013,04_data_g.mat
-76.6802237374442,-9.37179783412388,-78.850332350958,-74.6543470110212,-64.2405867803664,-76.4992072695778,10172013,05_data_e.mat
-52.0159228515625,4.27029134114583,-55.7522916666667,-46.0194222005208,-29.9830452473958,-53.4516731770833,10092013,03_data.mat
-42.7281476449275,2.08072385926178,-45.1797264209692,-36.6447559301404,-23.8786780315897,-43.5610785000566,10092013,05_data.mat
-65.1725146484375,3.54180884951637,-67.9910309709821,-60.686067359561,-44.6327313523066,-65.7005777413504,10092013,07_data.mat
-52.583187884595,-2.4584320654352,-55.0729442734316,-46.7280349731445,-33.1793327331543,-53.2255277518767,10152013,03_data_a.smr
-61.5909467297931,3.72589589274207,-64.8187167145485,-55.6953735351563,-36.3703002929687,-63.2704784482024,10152013,04_data_a.smr
-61.0832085690256,3.80233418739448,-64.2702294689114,-55.6588325500488,-35.9111213684082,-62.5668025259244,10152013,04_data_a.smr
-61.2693820097009,2.39184202466692,-64.0159656758211,-54.2603034973145,-33.991340637207,-62.5406882616938,10152013,04_data_a.smr
-57.733159383138,3.77247619628906,-62.2634302775065,-53.9661521911621,-39.4283332824707,-59.5060399373372,10152013,08_data_a.smr
-56.6690676105556,9.78683038967759,-63.7650877539791,-55.0136108398438,-45.5269660949707,-61.1802033381676,10152013,08_data_c.smr
-60.4934263962966,8.23744142972506,-68.5286460289588,-59.3108749389648,-50.6171836853027,-65.9730922992413,10152013,08_data_d.smr
-55.8631590357367,13.6838103960145,-63.9615454043982,-54.7389106750488,-45.7886199951172,-61.543747092193,10152013,08_data_e.smr
-59.3235517678802,2.25667359656894,-65.1509934258215,-58.3344078063965,-50.2577934265137,-62.4190409552191,10152013,09_data_e.smr
-49.5971045860877,23.9561274601863,-53.393315241887,-47.328239440918,-22.7566013336182,-51.9261239858774,10152013,12_data_g.smr
-50.0453439486229,23.9957316770392,-53.754781432071,-47.3411712646484,-23.1562538146973,-52.3326105667373,10152013,12_data_g.smr
-49.5535106658936,23.9967136383057,-53.4199447631836,-46.9728698730469,-22.4288673400879,-51.8985958099365,10152013,12_data_h.smr
-50.2398288532839,24.1371987552966,-53.9321971828655,-47.3916053771973,-23.3036689758301,-52.5007158699682,10152013,12_data_h.smr
-60.1472746196546,7.75192742598684,-63.9432999460321,-55.9840393066406,-33.2851829528809,-62.218655234889,10152013,12_data_i.smr
-60.4402268353631,7.43625236960018,-64.345354865579,-55.783374786377,-32.9661064147949,-62.6098920036765,10152013,12_data_j.smr
-60.4343633237092,6.92655613111413,-64.5084600033967,-55.8983039855957,-33.1242294311523,-62.9275167713995,10152013,12_data_j.smr
-64.9658203125,-15.8931337553879,-65.8611429148707,-55.1980906519397,-35.1166823814655,-69.5356697871767,4192006,04192006_06.mat
-66.3571515690928,-11.4916452399789,-68.508679456751,-53.8332525712025,-42.1287183544304,-65.5444826279008,4192006,04192006_010.mat
-65.4407922240803,0.786312447742475,-70.3907229828595,-61.5997008256689,-54.0138678407191,-65.0915649822324,4212006,04212006_03.mat
-64.303074363426,-1.49111689814815,-68.722019675926,-56.2003182870371,-38.9784577546296,-65.0472511574074,4242006,04242006_01.mat
-66.2787543402778,-5.4515697337963,-70.4273365162037,-57.3486328125,-40.0689019097222,-67.5776728877315,4242006,04242006_04.mat
-66.243627194816,-8.47554609113712,-69.4099433005853,-59.7326661789298,-43.1946292328595,-66.691735472408,4242006,04242006_06.mat
-64.9494961265756,-12.297595522584,-66.5243057379201,-53.2096146271008,-35.7476102941177,-65.8464564732143,4242006,04242006_10.mat
-67.5082475673653,-2.54315821482036,-70.004622005988,-63.4090241392216,-44.5379771706587,-67.2347223521707,4242006,04242006_12.mat
-67.5535807291667,-4.19529079861111,-70.3568576388889,-58.5258029513889,-40.3666232638889,-67.1754340277778,4242006,04242006_37.mat
-59.2656814759036,-8.01968185240964,-66.0557323042169,-54.0381306475904,-36.0081984186747,-61.5129518072289,9222004,09222004_04.mat
-65.8087261652542,-8.84864936440678,-67.4275026483051,-56.2549655720339,-33.9703058792373,-70.7987122616525,4192006,04192006_03.mat
